Neighbors;Accuracy;Tipo
1;1.0;ENTRENAMIENTO
1;0.9292232253008038;TEST
3;0.9640898015702867;ENTRENAMIENTO
3;0.9311906644103998;TEST
5;0.9526199708331312;ENTRENAMIENTO
5;0.9299897621698046;TEST
7;0.9459348354321058;ENTRENAMIENTO
7;0.9282284341461997;TEST
9;0.9410066749301109;ENTRENAMIENTO
9;0.9264926567383498;TEST
11;0.9374083115265675;ENTRENAMIENTO
11;0.9251486660006858;TEST
13;0.9344710612038336;ENTRENAMIENTO
13;0.9236803243484347;TEST
15;0.931887174353086;ENTRENAMIENTO
15;0.9222051707074979;TEST
17;0.929781946211255;ENTRENAMIENTO
17;0.9211746054700247;TEST
19;0.9280208073874538;ENTRENAMIENTO
19;0.9200844209104373;TEST
21;0.9264035122216943;ENTRENAMIENTO
21;0.9191202894501517;TEST
23;0.9249005349465017;ENTRENAMIENTO
23;0.9181680819587477;TEST
25;0.9235455652426584;ENTRENAMIENTO
25;0.9172720862572492;TEST
27;0.922307563198812;ENTRENAMIENTO
27;0.9165481349955421;TEST
29;0.9212168116101347;ENTRENAMIENTO
29;0.9155431224629993;TEST
31;0.920093884503898;ENTRENAMIENTO
31;0.9147936207306188;TEST
33;0.919030198255179;ENTRENAMIENTO
33;0.9139742801842466;TEST
35;0.9180539538456068;ENTRENAMIENTO
35;0.9131549394347603;TEST
37;0.9171443317813633;ENTRENAMIENTO
37;0.9123969206563635;TEST
39;0.9162384951095927;ENTRENAMIENTO
39;0.9116848960330397;TEST
41;0.9153763793518431;ENTRENAMIENTO
41;0.9110001226433038;TEST
43;0.9144987435678473;ENTRENAMIENTO
43;0.9102710611423804;TEST
45;0.9137043857268857;ENTRENAMIENTO
45;0.9096527234739258;TEST
47;0.9128998074099997;ENTRENAMIENTO
47;0.9090088330425081;TEST
49;0.9121461421756003;ENTRENAMIENTO
49;0.9082814761636702;TEST
51;0.9114274915518337;ENTRENAMIENTO
51;0.9076767655773338;TEST
