Estimators;Accuracy;Tipo
10;0.9999129367081959;ENTRENAMIENTO
10;0.9972609152039867;TEST
20;0.9999916722066995;ENTRENAMIENTO
20;0.9983851655102679;TEST
50;0.9999994321960008;ENTRENAMIENTO
50;0.9986866690727197;TEST
100;1.0;ENTRENAMIENTO
100;0.9988689343391395;TEST
150;1.0;ENTRENAMIENTO
150;0.9988859682280576;TEST
200;1.0;ENTRENAMIENTO
200;0.9989098163689352;TEST
250;1.0;ENTRENAMIENTO
250;0.9988927821898536;TEST
300;1.0;ENTRENAMIENTO
300;0.9989524012508205;TEST
350;1.0;ENTRENAMIENTO
350;0.9989438840597227;TEST
400;1.0;ENTRENAMIENTO
400;0.9989149263760208;TEST
450;1.0;ENTRENAMIENTO
450;0.9989524014249186;TEST
500;1.0;ENTRENAMIENTO
500;0.998940477804233;TEST
