Profundidad;Accuracy;Type
1;0.7591409352076341;TRAIN
1;0.75914093523326;TEST
2;0.79058970649587;TRAIN
2;0.7904973597856643;TEST
3;0.835975607265247;TRAIN
3;0.8358694481863495;TEST
4;0.8703290762757318;TRAIN
4;0.8702971104907414;TEST
5;0.8958938875207074;TRAIN
5;0.8958261262317586;TEST
7;0.9100782000961093;TRAIN
7;0.9098230627693373;TEST
10;0.932635729264445;TRAIN
10;0.9317885672444339;TEST
13;0.9644929423577102;TRAIN
13;0.9623205261839072;TEST
15;0.9817655411307135;TRAIN
15;0.9788998347528957;TEST
18;0.9965513476188494;TRAIN
18;0.9935866530333654;TEST
41;1.0;TRAIN
41;0.9988348660099927;TEST
